"city_code","city_name","latitude","longitude","h3L4","loc_describe"
"230100","哈尔滨市","45.878059575182235","126.40787828480057","841496bffffffff","城市中心"
"350500","泉州市","24.68140326743343","118.38144671702565","8441a09ffffffff","非中心"
"330400","嘉兴市","31.003030435821962","120.9112927206645","8430987ffffffff","非中心"
"510700","绵阳市","31.854058963956","104.86054246919737","8440f13ffffffff","非中心"
"140100","太原市","37.53310236101651","112.42783299165413","8431901ffffffff","非中心"
"330100","杭州市","29.537828352918403","118.9576055654411","8441901ffffffff","非中心"
"320500","苏州市","31.302342374459233","121.17721737522882","8430983ffffffff","非中心"
"340200","芜湖市","31.229916690537788","118.6018303175154","8430931ffffffff","城市中心"
"450200","柳州市","24.28171836705711","109.52703722330935","8440215ffffffff","城市中心"
"320500","苏州市","31.003030435821962","120.9112927206645","8430987ffffffff","非中心"
"441300","惠州市","22.594288396572377","115.08292323135824","844111bffffffff","非中心"
"350100","福州市","26.07363262768033","119.65013063391075","8441b51ffffffff","非中心"
"320300","徐州市","34.040540158184754","117.33820746938714","8430b39ffffffff","城市中心"
"520100","贵阳市","26.839666080781043","106.60895934320735","84400c7ffffffff","城市中心"
"510100","成都市","30.89949915902921","104.49889428214834","8440e23ffffffff","非中心"
"320600","南通市","32.19374839324865","121.12829699462598","84309d1ffffffff","非中心"
"330400","嘉兴市","30.700823437626724","121.06860823199793","84309bdffffffff","非中心"
"320200","无锡市","32.00730170474126","120.45778119596018","84309c3ffffffff","非中心"
"430100","长沙市","28.10707285517554","113.45825724194134","844189dffffffff","非中心"
"500000","重庆市","29.920348384743797","106.7647181924147","84401bbffffffff","非中心"
"120000","天津市","38.91981093229084","117.11837614629151","84318c7ffffffff","城市中心"
"330700","金华市","29.589343821009056","120.0291608206544","8441961ffffffff","非中心"
"440600","佛山市","23.377396845774722","112.7832554956052","844119dffffffff","非中心"
"210100","沈阳市","41.77907933713576","123.345260388041","843025dffffffff","城市中心"
"500000","重庆市","29.55394372890006","106.95398770125267","8440195ffffffff","非中心"
"440400","珠海市","22.52785943190482","113.54866245916494","84411ddffffffff","非中心"
"320100","南京市","32.084313987593234","118.96843579787246","8430911ffffffff","城市中心"
"210100","沈阳市","42.07762135282304","123.42026770638316","84310b7ffffffff","非中心"
"441300","惠州市","22.67541717828413","114.66099133960965","84411cdffffffff","非中心"
"450100","南宁市","22.68608926253187","108.18370518512795","844153dffffffff","非中心"
"340200","芜湖市","31.332775504845557","118.1851050391561","843093dffffffff","非中心"
"330100","杭州市","30.20225249844791","120.13576888671342","84309a5ffffffff","城市中心"
"320700","连云港市","34.778158943818326","119.24257277065276","843084bffffffff","城市中心"
"510100","成都市","31.0152212449855","103.5485929034926","8440e37ffffffff","非中心"
"370700","潍坊市","36.801850168802204","118.2987371707884","8430a43ffffffff","非中心"
"653100","喀什地区","39.45521024727115","76.18563901375938","8420f25ffffffff","城市中心"
"370100","济南市","36.55893590108163","116.89895718776118","8431997ffffffff","非中心"
"340100","合肥市","31.891303162972825","117.18423779408799","8430963ffffffff","城市中心"
"330100","杭州市","30.09627385717104","120.53908162042893","84309a7ffffffff","非中心"
"442000","中山市","22.605465486071978","113.11952938812708","84411d1ffffffff","非中心"
"321000","扬州市","32.330396193291236","119.22883665017758","843091bffffffff","城市中心"
"340100","合肥市","31.790365659866918","117.60755604356719","8430905ffffffff","非中心"
"440600","佛山市","23.299387064035997","113.21506744474564","844118bffffffff","非中心"
"310100","上海市","31.302342374459233","121.17721737522882","8430983ffffffff","非中心"
"441700","阳江市","21.741816645652058","111.89750323730581","8441085ffffffff","城市中心"
"350500","泉州市","24.964036538808852","118.63586346433685","8441a0dffffffff","城市中心"
"440300","深圳市","22.755756215668143","114.23687825073098","84411c1ffffffff","非中心"
"120000","天津市","39.028594575823774","117.83222499790895","84318d5ffffffff","非中心"
"330300","温州市","27.928577760000522","120.37511889010146","8441b21ffffffff","非中心"
"440100","广州市","22.91396568983149","113.38222924183462","84411d5ffffffff","非中心"
"321200","泰州市","32.11586973113453","120.05079690596477","84309c1ffffffff","非中心"
"141000","临汾市","36.21196937796481","111.49104592770342","84409e7ffffffff","城市中心"
"120000","天津市","38.79910556859806","117.48079616686998","8431889ffffffff","非中心"
"330500","湖州市","30.559612627832227","119.98647877151369","84309adffffffff","非中心"
"320100","南京市","31.836018482492534","118.70767351671454","8430915ffffffff","非中心"
"511100","乐山市","29.622629866566136","103.86218729179544","8440e1dffffffff","城市中心"
"440100","广州市","23.220487022706703","113.6447993782508","8441189ffffffff","非中心"
"370100","济南市","36.78880805181412","117.16913884731757","8431993ffffffff","城市中心"
"370100","济南市","36.68307834521443","117.60141517681251","8430a45ffffffff","非中心"
"442000","中山市","22.52785943190482","113.54866245916494","84411ddffffffff","城市中心"
"410300","洛阳市","34.75730049185683","112.6636027432867","8440919ffffffff","非中心"
"320500","苏州市","31.41129361383806","120.35007795842479","843098dffffffff","非中心"
"450300","桂林市","25.21543188874243","110.33353832228937","8440223ffffffff","城市中心"
"370200","青岛市","35.80157005316046","119.8764806441301","8430a17ffffffff","非中心"
"370600","烟台市","37.31856663019663","121.7034160292327","8430117ffffffff","非中心"
"140100","太原市","37.78735457302099","112.77520977794973","843190bffffffff","非中心"
"330200","宁波市","29.780782455864266","121.54098078680265","844b343ffffffff","城市中心"
"371000","威海市","37.52674163105293","121.9625876481219","8430113ffffffff","城市中心"
"510700","绵阳市","31.55764470479515","104.58153241210249","8440c4dffffffff","城市中心"
"510100","成都市","30.958191697366637","104.0243403821504","8440e35ffffffff","非中心"
"330200","宁波市","30.0896995314523","121.38345459482814","844b34bffffffff","非中心"
"500000","重庆市","29.620458269269594","106.4883958675652","8440197ffffffff","城市中心"
"440400","珠海市","22.141111534767607","113.71436905930449","8441037ffffffff","城市中心"
"350200","厦门市","24.396691991633798","118.1267086839591","8441a55ffffffff","城市中心"
"320500","苏州市","32.00730170474126","120.45778119596018","84309c3ffffffff","非中心"
"330300","温州市","27.921587815377304","120.79402856663145","8441b2dffffffff","城市中心"
"320200","无锡市","31.41129361383806","120.35007795842479","843098dffffffff","城市中心"
